,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
166,0.0,,0.0,2015-06-01 13:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,6,1
167,0.0,,0.0,2015-06-01 15:06:35,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,7,1
168,0.0,,0.0,2015-06-01 17:07:01,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,8,1
169,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,9,1
170,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,OREGON OH SOUTH TERM,Daily,10,1
171,0.0,,0.0,2015-06-01 02:06:32,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,1,1
172,0.0,,0.0,2015-06-01 05:06:29,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,2,1
173,0.0,,0.0,2015-06-01 07:06:25,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,3,1
174,0.0,,0.0,2015-06-01 09:06:27,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,4,1
175,0.0,,0.0,2015-06-01 11:06:53,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,5,1
176,0.0,,0.0,2015-06-01 13:06:29,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,6,1
177,0.0,,0.0,2015-06-01 15:06:35,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,7,1
178,0.0,,0.0,2015-06-01 17:07:01,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,8,1
179,0.0,,0.0,2015-06-01 19:06:27,MPC,87 RFG 10% VOC2,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,ARGO IL (KINDER MORGAN) TERM,Daily,9,1
